,Column,Feature,Importance Score
599,Column_599, ukl,0
600,Column_600, un,0
601,Column_601, unt,2
602,Column_602, unte,0
603,Column_603, unten,13
604,Column_604, unten ,23
605,Column_605, unten a,0
606,Column_606, unter,0
607,Column_607, untert,0
608,Column_608, unterte,0
609,Column_609, us,3
610,Column_610, ve,18
611,Column_611, ver,6
612,Column_612, verl,0
613,Column_613, vers,0
614,Column_614, verst,0
615,Column_615, versta,0
616,Column_616, verstae,0
617,Column_617, vo,21
618,Column_618, vo ,0
619,Column_619, vo b,0
620,Column_620, vo s,0
621,Column_621, vo sp,0
622,Column_622, vo spo,0
623,Column_623, vo spor,0
624,Column_624, vor,2
625,Column_625, vorn,56
626,Column_626, vorn ,7
627,Column_627, vorne,0
628,Column_628, vorne ,0
629,Column_629, vs,0
630,Column_630, wa,32
631,Column_631, was,0
632,Column_632, wass,0
633,Column_633, wasse,0
634,Column_634, wasser,0
635,Column_635, we,0
636,Column_636, wi,1
637,Column_637, win,0
638,Column_638, wind,0
639,Column_639, windl,0
640,Column_640, windla,0
641,Column_641, windlau,0
642,Column_642, zo,0
643,Column_643, zu,0
644,Column_644,a b,0
645,Column_645,a e,0
646,Column_646,a h,5
647,Column_647,a hi,5
648,Column_648,a hin,0
649,Column_649,a hint,0
650,Column_650,a hinte,0
651,Column_651,a hinten,0
652,Column_652,a p,0
653,Column_653,a pa,0
654,Column_654,a par,0
655,Column_655,a part,0
656,Column_656,a r,0
657,Column_657,a s,1
658,Column_658,a v,0
659,Column_659,a vo,0
660,Column_660,a vor,0
661,Column_661,a vorn,0
662,Column_662,aa ,0
663,Column_663,aa h,0
664,Column_664,aa hi,0
665,Column_665,aa v,0
666,Column_666,aa vo,0
667,Column_667,aa vor,0
668,Column_668,aa vorn,0
669,Column_669,abd,72
670,Column_670,abde,7
671,Column_671,abdec,1
672,Column_672,abdeck,0
673,Column_673,abdeckl,66
674,Column_674,abdeckle,3
675,Column_675,abdecku,0
676,Column_676,abdeckun,0
677,Column_677,abdi,6
678,Column_678,abdic,1
679,Column_679,abdich,1
680,Column_680,abdicht,0
681,Column_681,abdichtu,0
682,Column_682,abe,1
683,Column_683,abel,0
684,Column_684,abl,0
685,Column_685,abla,0
686,Column_686,ablag,0
687,Column_687,ablage,0
688,Column_688,ablagef,0
689,Column_689,ablagefa,0
690,Column_690,ablau,0
691,Column_691,ablauf,0
692,Column_692,ablaufk,0
693,Column_693,ablaufka,0
694,Column_694,able,0
695,Column_695,abs,0
696,Column_696,abso,0
697,Column_697,absor,0
698,Column_698,absorb,0
699,Column_699,absorbe,0
700,Column_700,absorber,0
701,Column_701,abst,0
702,Column_702,abstu,0
703,Column_703,abstue,0
704,Column_704,abstuet,0
705,Column_705,abstuetz,0
706,Column_706,ach,28
707,Column_707,ach ,0
708,Column_708,ach m,0
709,Column_709,acha,32
710,Column_710,achr,1
711,Column_711,achra,0
712,Column_712,achrah,0
713,Column_713,achrahm,0
714,Column_714,achrahme,0
715,Column_715,achs,0
716,Column_716,acht,0
717,Column_717,achta,0
718,Column_718,achtab,0
719,Column_719,achtabd,0
720,Column_720,achtabde,0
721,Column_721,achtabdi,0
722,Column_722,ack,0
723,Column_723,acs,0
724,Column_724,acsm,0
725,Column_725,ad ,0
726,Column_726,ada,1
727,Column_727,adap,0
728,Column_728,adapt,2
729,Column_729,adapte,1
730,Column_730,adapter,0
731,Column_731,adapter ,2
732,Column_732,ade,4
733,Column_733,adek,0
734,Column_734,adh,0
735,Column_735,adha,6
736,Column_736,adhau,0
737,Column_737,adhaus,1
738,Column_738,adhaus ,0
739,Column_739,adhaus a,0
740,Column_740,adhaus h,0
741,Column_741,aec,0
742,Column_742,aeck,0
743,Column_743,aeckr,0
744,Column_744,aeckra,0
745,Column_745,aeckrau,0
746,Column_746,aeckraum,0
747,Column_747,aeg,2
