,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
47,model_9979,0.9999941269223758,0.013601076780124162,0.9979886783290952,0.022854291678966875,0.9956006768189509,0.9942721958796599,0.9763522726503245,4,0.07,7,0.5,40,50
48,model_9949,0.9993301167661801,0.0921856756078852,0.9949346384349004,0.10501627238973367,0.9732656514382403,0.9688751839437542,0.879066661624432,2,0.07,7,0.7,20,50
49,model_9977,0.9999985317305939,0.00583601288192869,0.997738221500952,0.017162923704323003,0.9956006768189509,0.9805939339437542,0.9757135929910499,3,0.07,7,0.7,30,50
50,model_9975,0.9999853760367157,0.016327437232491977,0.9975056544462476,0.02588364933719248,0.993570219966159,0.993206854970569,0.9661047134642378,3,0.07,7,0.7,40,50
51,model_9975,0.9999972396535166,0.008364550816493071,0.9975439896750451,0.019530610306968677,0.9969543147208122,0.9915628576684108,0.9832992242726731,3,0.07,7,0.9,20,50
52,model_9967,0.9999753918047545,0.021291133545854476,0.9967287271426198,0.03222777935498076,0.9918781725888325,0.9888995053956835,0.9575932684994284,2,0.07,7,0.9,30,50
53,model_9979,0.9999884300370803,0.016383153498711552,0.9979298976449391,0.02657371030292437,0.993570219966159,0.9897872894865926,0.9658854975236681,2,0.07,7,0.9,40,50
54,model_9962,0.9994878676311669,0.051737174473797665,0.9962891498524094,0.05972169029202704,0.9813874788494078,0.9868148095160236,0.9119892302218775,5,0.1,3,0.5,20,50
55,model_9955,0.9993421565753098,0.06175452651183358,0.9955352236860601,0.07053336563509105,0.9766497461928934,0.9843290140614781,0.8938005390835579,4,0.1,3,0.5,30,50
56,model_9969,0.9997233780438987,0.036927214130026455,0.9969408487419655,0.04452790999744806,0.9871404399323181,0.9898332754251145,0.9360951635153407,5,0.1,3,0.5,40,50
57,model_9957,0.9991998519044746,0.07676781846597322,0.9957856805142032,0.08574356202406243,0.971912013536379,0.9818432186069326,0.876924983779178,2,0.1,3,0.7,20,50
58,model_9962,0.9995871226430165,0.04423716089976728,0.9962405918959326,0.05361656485473581,0.9834179357021997,0.9878801504251145,0.9202286343915708,2,0.1,3,0.7,30,50
59,model_9971,0.9999728076505998,0.015955983465837896,0.9971376362497923,0.02510092095586219,0.9932318104906938,0.9896097326684108,0.9642057677771964,3,0.1,3,0.7,40,50
60,model_9963,0.9996287627633723,0.0490273387494638,0.9963734873557637,0.0574566742513896,0.9844331641285956,0.9849932553956835,0.9240105098389982,2,0.1,3,0.9,20,50
61,model_9974,0.9999689901501441,0.0167885787497779,0.9974673192174502,0.02704846530544073,0.9925549915397631,0.989254619032047,0.9608784505916675,3,0.1,3,0.9,30,50
62,model_9966,0.9995948751054805,0.054085870722246056,0.9966264998658267,0.061907261602644724,0.9796954314720813,0.9859270254251145,0.9053321543902814,2,0.1,3,0.9,40,50
63,model_9969,0.9998650366761952,0.03853872110538021,0.9969715169250035,0.04862761241300922,0.9874788494077834,0.9900108322432963,0.9375892265425169,3,0.1,5,0.5,20,50
64,model_9974,0.9999962412303205,0.009282178537598836,0.9974213169428933,0.02093372748189246,0.9952622673434857,0.9872555080935252,0.9742798098061256,4,0.1,5,0.5,30,50
65,model_9978,0.9999650551881358,0.02390743482183144,0.9978685612788633,0.032794328570908,0.9912013536379018,0.9851248262753434,0.9540593742077141,3,0.1,5,0.5,40,50
66,model_9972,0.9999977682305028,0.006767242169598729,0.9972347521627458,0.018890341825980976,0.9966159052453468,0.9879657353662525,0.9813810884785797,3,0.1,5,0.7,20,50
67,model_9960,0.9998604556756483,0.04401483986296739,0.9960131362050679,0.05551677749650105,0.9810490693739424,0.9832176872138653,0.9101335940045618,2,0.1,5,0.7,30,50
68,model_9965,0.9999411517622052,0.022371560826758372,0.9965574964539914,0.03390215427800029,0.9908629441624366,0.988366834941138,0.9527426555209977,2,0.1,5,0.7,40,50
69,model_9981,0.9999790918436577,0.019705006498260003,0.9981215737889262,0.029491608635056368,0.9922165820642977,0.9890770622138653,0.9592306460291495,2,0.1,5,0.9,20,50
70,model_9970,0.9999604154568127,0.023603684442326404,0.9970277419272398,0.0346973210414994,0.9915397631133672,0.9887219485775016,0.9559662130466374,2,0.1,5,0.9,30,50
71,model_9975,0.9999972396535166,0.0071936330443479295,0.997574657858083,0.01926500986485638,0.9959390862944163,0.9910301872138653,0.9779541226909647,3,0.1,5,0.9,40,50
72,model_9980,0.9999999412692238,0.0017089388076580237,0.9980014567386943,0.015500172547638105,0.9969543147208122,0.9847237267004578,0.9830718201660165,6,0.1,7,0.5,20,50
73,model_9978,0.9999972396535166,0.007687749181936579,0.9978915624161417,0.019109098154875846,0.9949238578680203,0.9802388203073904,0.9721653737877887,4,0.1,7,0.5,30,50
74,model_9982,0.9999999412692238,0.002249951961247881,0.9982800260679556,0.014720794297633809,0.9972927241962775,0.9883208490026161,0.9850038061405735,6,0.1,7,0.5,40,50
75,model_9983,0.9999998238076713,0.0019857014099308183,0.998392476072428,0.01564221576797149,0.9966159052453468,0.984546169882276,0.9812547576757168,4,0.1,7,0.7,20,50
76,model_9983,0.9999949491532432,0.009833425033755894,0.9983413624340315,0.020033008068344477,0.9959390862944163,0.9876106217298888,0.9778067623658767,3,0.1,7,0.7,30,50
77,model_9982,0.9999964761534255,0.007389966683081635,0.998244246521078,0.018470035402569945,0.9952622673434857,0.9838359426095487,0.9741078894268562,3,0.1,7,0.7,40,50
78,model_9984,0.9999999412692238,0.0015945756966164377,0.9984103658458668,0.015057670390195026,0.9972927241962775,0.9849012835186396,0.9849012835186396,4,0.1,7,0.9,20,50
79,model_9978,0.9999835553826522,0.01379702236780732,0.9978557828692641,0.023789246531608688,0.993570219966159,0.9829481585186396,0.9654379369504743,3,0.1,7,0.9,30,50
80,model_9977,0.9999964174226492,0.009429629272936751,0.9977867794574288,0.02047706132423638,0.9952622673434857,0.9906750735775016,0.9744493359421321,2,0.1,7,0.9,40,50
