,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,test f1_score,early stopping (iterations)
70,model_9982,0.9999809799147901,0.0141207864444524,0.998288908809055,0.02284776023008938,0.9935723951285521,0.9761098469467238,3,0.1,5,0.9,30,0.9649783780581719,50
71,model_9985,0.9999975420197574,0.005911382060540154,0.9985979267704047,0.0159036440705811,0.9959404600811907,0.9807719319751866,4,0.1,5,0.9,40,0.9775060876623376,50
72,model_9979,0.9999614331195281,0.0291903403711818,0.9979517983057643,0.038107269400705725,0.9939106901217862,0.979706969248882,4,0.1,7,0.5,20,0.966931752925354,50
73,model_9989,0.9999972494030619,0.008638956673982243,0.9989120524666528,0.017257882069911266,0.9956021650879567,0.9771748096730284,6,0.1,7,0.5,30,0.9755485945277669,50
74,model_9985,0.9999911629757947,0.011097411849798865,0.9985366339516246,0.019547397514213187,0.9952638700947226,0.9804169443997517,6,0.1,7,0.5,40,0.9739339657105426,50
75,model_9987,0.9999997659066435,0.002175556270006335,0.9987843590941943,0.01304876330241248,0.9959404600811907,0.9739326749463049,5,0.1,7,0.7,20,0.977196284753294,50
76,model_9987,0.9999997659066435,0.002113884595476313,0.9987869129616435,0.011933827041433262,0.996617050067659,0.9777072910361806,4,0.1,7,0.7,30,0.9809969039610784,50
77,model_9982,0.9999703871904115,0.019161789381276592,0.9982965704114025,0.027093636389087912,0.9942489851150202,0.9798844630365995,3,0.1,7,0.7,40,0.9686648645783644,50
78,model_9977,0.9999898754623344,0.016243937310986726,0.9977347195725847,0.0271389247657389,0.9952638700947226,0.9804169443997517,3,0.1,7,0.9,20,0.9739339657105426,50
79,model_9981,0.9999752446275575,0.01965719154022738,0.9981433383644522,0.029294873567758447,0.9935723951285521,0.9795294754611645,3,0.1,7,0.9,30,0.9652100658149438,50
80,model_9982,0.9999963715529753,0.00831806443649429,0.9982174005204781,0.017424819976304063,0.9942489851150202,0.9730452060077177,3,0.1,7,0.9,40,0.9682413887029793,50
