,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,patience
70,model_9985,0.9999999412692238,0.00282907755106306,0.9985637067610565,0.01508408081036124,0.9966159052453468,0.9811266043982996,0.9811266043982996,1,0.3,6,0.9,0.2,50
71,model_9981,0.9999988253844752,0.00592638651237961,0.9981420192442848,0.01682673364702975,0.9966159052453468,0.9879657353662525,0.9813810884785797,1,0.3,6,0.9,0.5,50
72,model_9990,1.0,0.00051129968360421,0.9990978442823006,0.01313224091956878,0.9972927241962775,0.9849012835186396,0.9849012835186396,2,0.3,9,0.5,0,50
73,model_9981,1.0,0.00268424556791062,0.9981599090177237,0.01580457779818208,0.9969543147208122,0.9778845957325049,0.9828377833346778,1,0.3,9,0.5,0.2,50
74,model_9979,0.9999993539614613,0.00651085985587265,0.9979861226471753,0.01665313014199256,0.9956006768189509,0.9840134994277305,0.9758766572827502,1,0.3,9,0.5,0.5,50
75,model_9989,1.0,0.000336747102489,0.9989802829139885,0.01341668485437976,0.9972927241962775,0.9883208490026161,0.9850038061405735,3,0.3,9,0.7,0,50
76,model_9978,1.0,0.00240998804651572,0.9978225590043063,0.01594847610751609,0.9969543147208122,0.9813041612164813,0.9829556487972821,1,0.3,9,0.7,0.2,50
77,model_9981,1.0,0.00396642488489952,0.9981931328826814,0.01558462864580855,0.9962774957698816,0.9809490475801177,0.9793100024251313,1,0.3,9,0.7,0.5,50
78,model_9990,1.0,0.00040667084309003,0.9990569533715834,0.01309415755803384,0.9969543147208122,0.9847237267004578,0.9830718201660165,3,0.3,9,0.9,0,50
79,model_9986,0.999996593614978,0.00987962852865345,0.9986851016522483,0.02075827393549026,0.993570219966159,0.9761090275506867,0.9649777777777777,1,0.3,9,0.9,0.2,50
80,model_9978,0.9999999412692238,0.00415858919907636,0.9978736726427029,0.01743364492940243,0.9972927241962775,0.9883208490026161,0.9850038061405735,1,0.3,9,0.9,0.5,50
