iter	Passed	Remaining
710	12040	157306
711	12056	157279
712	12074	157275
713	12089	157234
714	12114	157314
715	12130	157292
716	12147	157273
717	12163	157245
718	12181	157238
719	12197	157218
720	12214	157202
721	12231	157179
722	12248	157165
723	12266	157155
724	12282	157132
725	12300	157133
726	12318	157118
727	12335	157104
728	12351	157085
729	12367	157056
730	12384	157035
731	12401	157016
732	12416	156974
733	12433	156962
734	12452	156973
735	12469	156955
736	12485	156925
737	12502	156903
738	12518	156882
739	12533	156843
740	12550	156816
741	12567	156811
742	12584	156787
743	12601	156767
744	12618	156757
745	12634	156732
