,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,test f1_score,early stopping (iterations)
61,model_9987,0.9999981272531485,0.00736932743817079,0.99873583561266,0.01530791657502167,0.9956021650879567,0.9771748096730284,,247,0.3,4,0.9,0.2,0.9755485945277669,50
62,model_9986,0.9999995903366262,0.00472216818386469,0.9986668811915324,0.01437119129563004,0.996617050067659,0.9845465480650624,,299,0.3,4,0.9,0.5,0.981255073051948,50
63,model_9988,0.9999999414766609,0.0007748480538414,0.998899283129407,0.01144632108602217,0.9956021650879567,0.9771748096730284,,314,0.3,6,0.5,0,0.9755485945277669,50
64,model_9981,0.9999988880565569,0.00660142704501474,0.998184200243639,0.01568231738561112,0.9959404600811907,0.9739326749463049,,137,0.3,6,0.5,0.2,0.977196284753294,50
65,model_9986,0.9999999414766609,0.00233905652632295,0.998615803842549,0.01329867339317723,0.996617050067659,0.9811269195506215,,245,0.3,6,0.5,0.5,0.9811269195506215,50
66,model_9989,0.9999999414766609,0.00059192365080893,0.9989810068877805,0.01147620100106297,0.9952638700947226,0.9735776873708701,,506,0.3,6,0.7,0,0.9735776873708701,50
67,model_9983,0.9999999414766609,0.00128926513779285,0.9983655248325302,0.0118628069278276,0.9952638700947226,0.9701580588564293,,412,0.3,6,0.7,0.2,0.9733956655455097,50
68,model_9988,0.9999997659066435,0.00290238536547972,0.9988482057804235,0.01320718420612814,0.9949255751014885,0.9699805650687119,,255,0.3,6,0.7,0.5,0.9715932205561553,50
69,model_9988,0.9999999414766609,0.00116814076184742,0.9988967292619578,0.01112244868161726,0.9956021650879567,0.9771748096730284,,371,0.3,6,0.9,0,0.9755485945277669,50
70,model_9988,0.9999993562432699,0.00600272047461648,0.9988609751176695,0.01571053001958536,0.9956021650879567,0.9737551811585875,,229,0.3,6,0.9,0.2,0.975380791148668,50
71,model_9988,0.9999999414766609,0.00264644367000262,0.9988379903106269,0.01256002143595167,0.9959404600811907,0.9773523034607459,,324,0.3,6,0.9,0.5,0.9773523034607459,50
72,model_9989,0.9999999414766609,0.0007465641902715,0.9989656836830855,0.0105577683266452,0.9959404600811907,0.9739326749463049,,261,0.3,9,0.5,0,0.977196284753294,50
73,model_9987,0.9999993562432699,0.00781170999241711,0.9987281740103126,0.01626098604722489,0.9949255751014885,0.9734001935831527,,107,0.3,9,0.5,0.2,0.9717868398397309,50
74,model_9991,0.9999999414766609,0.00192807506238853,0.9991367928021799,0.0117220206730047,0.9945872801082544,0.9698030712809944,,206,0.3,9,0.5,0.5,0.9698030712809944,50
75,model_9992,0.9999999414766609,0.00067111381761409,0.9992134088256551,0.0098664636794082,0.9949255751014885,0.9699805650687119,,392,0.3,9,0.7,0,0.9715932205561553,50
76,model_9989,0.9999999414766609,0.00120028191578083,0.9989912223575772,0.01132376795342129,0.9949255751014885,0.9734001935831527,,329,0.3,9,0.7,0.2,0.9717868398397309,50
77,model_9984,0.9999997659066435,0.00384401657397665,0.9984906643375395,0.01381996469887821,0.9949255751014885,0.9734001935831527,,181,0.3,9,0.7,0.5,0.9717868398397309,50
78,model_9989,0.9999999414766609,0.00098244095718434,0.9989912223575772,0.01167274886593171,0.9945872801082544,0.9663834427665535,,311,0.3,9,0.9,0,0.9695950463377253,50
79,model_9986,0.9999999414766609,0.00150821632209571,0.9986285731797948,0.01259180508190359,0.9942489851150202,0.9662059489788362,,279,0.3,9,0.9,0.2,0.9678056499636427,50
80,model_9987,0.9999999414766609,0.00316556200038597,0.998720512407965,0.0141614044817595,0.9949255751014885,0.9699805650687119,,216,0.3,9,0.9,0.5,0.9715932205561553,50
