,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,test f1_score,early stopping (iterations)
50,model_9999,0.9999999969980926,0.00011843883146085192,0.999992469960521,0.021656496199417185,0.996617050067659,0.9464323748668797,34,0.07,7,0.7,40,0.9431563933886252,50
51,model_9999,0.9999999969980926,0.00013190924756484006,0.9999878085075103,0.02304926146999505,0.9952638700947226,0.9282397994858058,41,0.07,7,0.9,20,0.9288251509164308,50
52,model_9999,0.9999999969980926,8.443669773649213e-05,0.9999965151156579,0.020810932333726252,0.9952638700947226,0.9232000516345564,42,0.07,7,0.9,30,0.9297281447698041,50
53,model_9999,0.9999999969980926,0.00010095725579417678,0.9999844356773271,0.024641572406378744,0.9959404600811907,0.9388458600918665,36,0.07,7,0.9,40,0.936182066768936,50
54,model_9999,0.9999999969980926,0.00033906198393563624,0.9999922682630349,0.025039276861835786,0.9959404600811907,0.9474209614784694,57,0.1,3,0.5,20,0.9380951158760306,50
55,model_9999,0.9999999816283267,0.0012490942398278072,0.9999937585833486,0.0359304531120681,0.9939106901217862,0.9523961661341853,55,0.1,3,0.5,30,0.9214150757605422,50
56,model_9999,0.9999999969980926,0.000138873466603519,0.999990116823184,0.02403441960307927,0.996617050067659,0.9474424758769807,68,0.1,3,0.5,40,0.9431563933886252,50
57,model_9999,0.9999999969980926,0.0001488257652953719,0.9999924699605213,0.0255149133892248,0.9969553450608931,0.9524929809274858,23,0.1,3,0.7,20,0.9464675466191693,50
58,model_9999,0.9999999969980926,0.0001160530621150862,0.9999936241183579,0.024356563282060355,0.9959404600811907,0.9398559611019675,24,0.1,3,0.7,30,0.9367330309562638,50
59,model_9999,0.9999999969980926,0.00010418972482883258,0.9999824635241302,0.02788699007207141,0.9959404600811907,0.9348054560514625,32,0.1,3,0.7,40,0.9296110459079275,50
60,model_9999,0.9999999969980926,0.0001434181655483224,0.9999952937253256,0.02465406300337591,0.9959404600811907,0.944895708953217,34,0.1,3,0.9,20,0.9297257075066221,50
61,model_9999,0.9999999969980926,0.00011138525774890413,0.9999914054460115,0.02603599315932766,0.996617050067659,0.9388673744903777,36,0.1,3,0.9,30,0.9421331913432384,50
62,model_9999,0.9999999969980926,0.0009051709635205453,0.9999884023945526,0.037236961320735354,0.9949255751014885,0.9463785888706017,26,0.1,3,0.9,40,0.93248453724306,50
63,model_9999,0.9999999969980926,8.707308259677852e-05,0.999984334828584,0.022491262371644033,0.9952638700947226,0.9352997493572573,84,0.1,5,0.5,20,0.9325747435162501,50
64,model_9999,0.9999999969980926,0.00011522528570707694,0.9999967840456393,0.020637399865836452,0.9962787550744249,0.9413818698163746,96,0.1,5,0.5,30,0.9408553430724412,50
65,model_9999,0.9999999969980926,0.00011159440413726515,0.9999918424572313,0.022099685011043584,0.9969553450608931,0.9464431320661353,55,0.1,5,0.5,40,0.9465287801206406,50
66,model_9999,0.9999999969980926,0.00013250851311959533,0.9999971538243636,0.022190317065951405,0.9962787550744249,0.9343219199449231,25,0.1,5,0.7,20,0.9389422920370697,50
67,model_9999,0.9999999969980926,0.00010783934812852555,0.999995058411592,0.022479071351719497,0.9956021650879567,0.9292606576951625,24,0.1,5,0.7,30,0.932870940221037,50
68,model_9999,0.9999999969980926,0.00018012743368979765,0.9999807490954988,0.0242803093692479,0.9959404600811907,0.9353212637557686,24,0.1,5,0.7,40,0.936472874396265,50
69,model_9999,0.9999999969980926,0.00010705656761225293,0.9999880774374916,0.022405237592625454,0.9939106901217862,0.9050074762534825,26,0.1,5,0.9,20,0.9145551742840419,50
70,model_9999,0.9999999969980926,7.298337203829721e-05,0.9999973443164338,0.0227659589062228,0.9962787550744249,0.9343219199449231,26,0.1,5,0.9,30,0.9389422920370697,50
71,model_9999,0.9999999969980926,0.0001648058346309926,0.9999931310800586,0.026237560636274578,0.9962787550744249,0.9403717688062737,25,0.1,5,0.9,40,0.940396206249668,50
72,model_9999,0.9999999969980926,7.92208038808016e-05,0.9999924923713529,0.02132031759972559,0.9962787550744249,0.9464216176676241,70,0.1,7,0.5,20,0.9409471513639523,50
73,model_9999,0.9999999969980926,0.00015319693967758016,0.9999941955945684,0.01913279490194836,0.9959404600811907,0.9353212637557685,61,0.1,7,0.5,30,0.9364116561532286,50
74,model_9999,0.9999999969980926,7.602280617464687e-05,0.9999852200564395,0.022971128227400717,0.996617050067659,0.9464323748668797,62,0.1,7,0.5,40,0.9431563933886252,50
75,model_9999,0.9999999969980926,0.0001502262776128497,0.9999919433059742,0.022831479240876584,0.9949255751014885,0.9352889921580018,33,0.1,7,0.7,20,0.9270772034789069,50
76,model_9999,0.9999999969980926,0.00013624259700151966,0.9999895341415576,0.02214125824535757,0.996617050067659,0.9413926270156302,27,0.1,7,0.7,30,0.9432176287913121,50
77,model_9999,0.9999999969980926,0.0001130769441366671,0.9999789114072927,0.02488815954219586,0.9959404600811907,0.9353212637557685,27,0.1,7,0.7,40,0.936472874396265,50
78,model_9999,0.9999999969980926,0.00011819747039988943,0.9999848054560516,0.02198680487240032,0.9952638700947226,0.9221899506244554,32,0.1,7,0.9,20,0.9288251756850168,50
79,model_9999,0.9999999969980926,0.000133544869384289,0.9999920777709649,0.023892102543916462,0.9945872801082544,0.9292283860973958,30,0.1,7,0.9,30,0.9253402393636561,50
80,model_9999,0.9999999969980926,0.00011277723448808781,0.9999687144788316,0.025736623896834017,0.9962787550744249,0.9464216176676241,29,0.1,7,0.9,40,0.9410083696069889,50
