,Column,Feature,Importance Score
709,Column_709, pd us,0
707,Column_707, pd ece,0
690,Column_690, oben un,0
698,Column_698, pa be,0
691,Column_691, ober,0
692,Column_692, obers,0
693,Column_693, obersc,0
694,Column_694, obersch,0
696,Column_696, pa ,0
697,Column_697, pa b,0
699,Column_699, pa bev,0
706,Column_706, pd ec,0
700,Column_700, pad,0
701,Column_701, pada,0
702,Column_702, padi,0
703,Column_703, pd,0
704,Column_704, pd ,0
705,Column_705, pd e,0
804,Column_804, si hi k,0
805,Column_805, si hi p,0
806,Column_806, si hi s,0
888,Column_888, stoff ,0
908,Column_908, tc,0
909,Column_909, tcu,0
910,Column_910, te,0
911,Column_911, tex,0
912,Column_912, text,0
913,Column_913, texti,0
914,Column_914, textil,0
915,Column_915, textil ,0
917,Column_917, th ,0
918,Column_918, th s,0
919,Column_919, th ss,0
920,Column_920, th ssr,0
921,Column_921, th ssr ,0
922,Column_922, to,0
923,Column_923, tou,0
907,Column_907, tacheny,0
906,Column_906, tachen,0
905,Column_905, tache,0
896,Column_896, sw,0
890,Column_890, stoff g,0
891,Column_891, stos,0
892,Column_892, stoss,0
893,Column_893, stossf,0
894,Column_894, stossf ,0
895,Column_895, stossfa,0
897,Column_897, sw ,0
904,Column_904, tach,0
898,Column_898, sw m,0
899,Column_899, sw ma,0
900,Column_900, sw mat,0
901,Column_901, sw matt,0
902,Column_902, ta,0
903,Column_903, tac,0
925,Column_925, tue,0
926,Column_926, tuer,0
928,Column_928, tuer h,0
955,Column_955, uml,0
949,Column_949, ugd,0
950,Column_950, ugdo,0
951,Column_951, ugdo ,0
952,Column_952, ugdo i,0
953,Column_953, ugdo ik,0
954,Column_954, um,0
956,Column_956, umla,0
947,Column_947, tv ripp,0
957,Column_957, umlau,0
958,Column_958, umlauf,0
959,Column_959, umlaufe,0
961,Column_961, un ,0
962,Column_962, un l,0
963,Column_963, un lu,0
948,Column_948, ug,0
946,Column_946, tv rip,0
929,Column_929, tuer hi,0
937,Column_937, tv br,0
930,Column_930, tuer t,0
931,Column_931, tuer th,0
932,Column_932, tuer v,0
933,Column_933, tuer vo,0
935,Column_935, tv ,0
936,Column_936, tv b,0
938,Column_938, tv bra,0
945,Column_945, tv ri,0
939,Column_939, tv bran,0
940,Column_940, tv f,0
941,Column_941, tv fu,0
942,Column_942, tv fue,0
943,Column_943, tv fuer,0
944,Column_944, tv r,0
889,Column_889, stoff c,0
887,Column_887, stoff,0
807,Column_807, si hi v,0
884,Column_884, stf unt,0
828,Column_828, sky ro,0
829,Column_829, sky roo,0
830,Column_830, skyr,0
831,Column_831, skyro,0
832,Column_832, skyroo,0
833,Column_833, skyroof,0
834,Column_834, sp,0
835,Column_835, spo,0
836,Column_836, spoi,0
837,Column_837, spoil,0
838,Column_838, spoile,0
839,Column_839, spoiler,0
840,Column_840, sr,0
841,Column_841, sr ,0
842,Column_842, sr b,0
827,Column_827, sky r,0
